id	effectiveTime	active	moduleId	refsetId	referencedComponentId	mapTarget	expression	definitionStatusId	correlationId	contentOriginId
54ae0930-3951-4b2c-9df7-1751d9eff858	20140926	1	705115006	705110001	705114005	2264-0	363787002:70434600=(386053000:704327008=122575003,704347000=(414237002:704318007=118539007,704320005=115589000,704319004=78014005),370132008=30766002)	900000000000073002	447557004	705117003
9e0a6138-37ac-4f35-b394-2acd1e177357	20140926	1	705115006	705110001	705114005	74989-5	363787002:70434600=(386053000:704327008=122592007,370132008=30766002,704347000=(414237002:704320005=116892000,704318007=118556004,704319004=50863008))	900000000000073002	447557004	705117003
90677d0f-6a9a-4ddc-8bf0-9d57b3a95f61	20140926	1	705115006	705110001	705114005	62439-5	363787002:70434600=(386053000:246501002=702659008,704347000=(414237002:704319004=32457005,704318007=118550005,704320005=703063009),370132008=30766002,704327008=309051001)	900000000000073002	447557004	705117003
8276f8c8-f275-4976-8a10-ab3a7939b11b	20140926	1	705115006	705110001	705114005	25876-4	363787002:70434600=(386053000:704327008=276833005,370132008=30766002,704347000=(414237002:704320005=59351004,704318007=118556004,704319004=78014005))	900000000000073002	447557004	705117003
1ba78204-0e43-40b5-8f8c-1fc099336b4e	20140926	1	705115006	705110001	705114005	29505-5	363787002:70434600=(386053000:704347000=(414237002:704318007=118563004,704320005=115345004,704325000=15373003,704319004=78014005),704327008=122575003,370132008=30766002)	900000000000073002	447557004	705117003
6e3c3aca-078d-4573-88f1-9273a8b204e3	20140926	1	705115006	705110001	705114005	18333-5	363787002:70434600=(386053000:704327008=258450006,704347000=(414237002:704319004=65216001,704320005=120915005,704318007=118569000),370132008=30766002)	900000000000073002	447557004	705117003
26411d0d-c1ef-4921-83f9-078d5abc99b2	20140926	1	705115006	705110001	705114005	31898-0	363787002:70434600=(386053000:704347000=(414237002:704320005=121087003,704318007=118569000,704319004=386100006),704327008=122567009,370132008=117363000)	900000000000073002	447557004	705117003
7da39b27-f2c7-48b9-afd1-ef294f5483cd	20140926	1	705115006	705110001	705114005	40567-0	363787002:70434600=(386053000:246501002=702663001,704347000=(414237002:704319004=32457005,704318007=118550005,704320005=703494001),370132008=30766002,704327008=309051001)	900000000000073002	447557004	705117003
b5dda2e5-4534-4aab-8005-9b366c81c4b0	20140926	1	705115006	705110001	705114005	30202-6	363787002:70434600=(386053000:370132008=117363000,704347000=(414237002:704320005=120663006,704318007=118569000,704319004=50863008),704327008=119364003)	900000000000073002	447557004	705117003
8efe0009-a1d7-4864-928d-55bfcd88c5a6	20140926	1	705115006	705110001	705114005	1962-0	363787002:70434600=(386053000:704327008=119361006,704347000=(414237002:704318007=118556004,704319004=50863008,704320005=68615006),370132008=30766002)	900000000000073002	447557004	705117003
2a50983e-1104-4570-8b3c-4f6245be733c	20140926	1	705115006	705110001	705114005	42572-8	363787002:70434600=(386053000:704347000=(414237002:704318007=118539007,704320005=22941009,704319004=78014005),704327008=122575003,370132008=30766002)	900000000000073002	447557004	705117003
42db4f1e-cca4-4d27-b3cb-e17e375eb303	20140926	1	705115006	705110001	705114005	53344-8	363787002:70434600=(386053000:704347000=(414237002:704319004=87612001,704320005=56146000,704318007=118556004),704327008=440500007,370132008=30766002)	900000000000073002	447557004	705117003
8cc07198-1f53-4660-840e-34c5778dee57	20140926	1	705115006	705110001	705114005	6511-0	363787002:70434600=(386053000:704327008=119344008,704347000=(414237002:704320005=120774005,704319004=71934003,704318007=118569000),246501002=703446000,370132008=117363000)	900000000000073002	447557004	705117003
4c14edd0-7c89-41d9-a018-e539a9f0bcf9	20140926	1	705115006	705110001	705114005	43973-7	363787002:70434600=(386053000:704347000=(414237002:704318007=118556004,704320005=86739005),370132008=30766002,704327008=123038009)	900000000000073002	447557004	705117003
68164cf5-e20f-411f-b9de-b8c669b0e55d	20140926	1	705115006	705110001	705114005	33385-6	363787002:70434600=(386053000:704327008=418564007,704347000=(414237002:704320005=703496004,704318007=118552002,704319004=2778004,704325000=702962009),246514001=415067009,370132008=30766002)	900000000000073002	447557004	705117003
7cac24fc-5949-4e91-9d2f-5bc3732d1f91	20140926	1	705115006	705110001	705114005	39789-3	363787002:70434600=(386053000:704347000=(414237002:704319004=87612001,704320005=88480006,704318007=118556004),704327008=122555007,370132008=30766002)	900000000000073002	447557004	705117003
2109e4a8-674d-4855-906a-b6bb11a1f9f3	20140926	1	705115006	705110001	705114005	32622-3	363787002:70434600=(386053000:704347000=(414237002:704320005=116900004,704318007=118569000,704319004=50863008),370132008=117363000,704327008=119364003)	900000000000073002	447557004	705117003
2e2c2212-bc52-4552-92f6-d014c48f12d9	20140926	1	705115006	705110001	705114005	34303-8	363787002:70434600=(386053000:704327008=122575003,370132008=30766002,704347000=(414237002:704318007=118563004,704320005=67906003,704325000=15373003,704319004=78014005))	900000000000073002	447557004	705117003
114abcb1-bd83-47fd-a703-677de37b067a	20140926	1	705115006	705110001	705114005	50115-5	363787002:70434600=(386053000:704327008=119373006,370132008=30766002,704347000=(414237002:704320005=117452002,704318007=118556004,704319004=77012006))	900000000000073002	447557004	705117003
0e3d2459-b562-44c1-8840-7ddc661ccd13	20140926	1	705115006	705110001	705114005	26592-6	363787002:70434600=(386053000:704327008=258450006,704347000=(414237002:704319004=65216001,704320005=84035007,704318007=118556004),370132008=30766002)	900000000000073002	447557004	705117003
2e6da8a6-63f0-47c8-88e5-6060d11e6ddc	20140926	1	705115006	705110001	705114005	16531-6	363787002:70434600=(386053000:246501002=702674005,370132008=30766002,704327008=119364003,704347000=(414237002:704318007=118569000,704319004=50863008,704320005=421303007))	900000000000073002	447557004	705117003
5af44b12-c60a-4168-b413-f702f82b0459	20140926	1	705115006	705110001	705114005	18908-4	363787002:70434600=(386053000:370132008=117365007,704327008=119303007,704347000=(414237002:704320005=372786004,704318007=118588007,704319004=386126001))	900000000000073002	447557004	705117003
be59a6c4-112b-4841-9ba5-8cc7dd97c996	20140926	1	705115006	705110001	705114005	33390-6	363787002:70434600=(386053000:704347000=(414237002:704318007=118569000,704319004=50863008,704320005=120709004),370132008=117363000,704327008=119364003)	900000000000073002	447557004	705117003
e0f02127-afde-47b8-9f75-aaba07941250	20140926	1	705115006	705110001	705114005	2243-4	363787002:70434600=(386053000:704327008=122592007,370132008=30766002,704347000=(414237002:704318007=118539007,704320005=126172005,704319004=50863008))	900000000000073002	447557004	705117003
83546e09-043c-4f2b-9fd5-43f58c982e4f	20140926	1	705115006	705110001	705114005	13777-8	363787002:70434600=(386053000:704327008=122575003,704347000=(414237002:704325000=15373003,704318007=118545004,704320005=115389004,704319004=78014005),370132008=30766002)	900000000000073002	447557004	705117003
